,states,2010,2011,2012,2013,2014,2015,2016
0,AL,6046,5558,5209,4689,4561,3970,4111
1,AK,1863,2128,1913,1946,1784,1956,1940
2,AZ,13711,10504,11302,10562,10495,9896,9707
3,AR,2762,3424,4214,3812,2936,2560,2463
4,CA,123480,125128,120098,118552,113952,115738,118142
5,CO,15482,15116,16768,9754,10028,9953,10550
6,CT,4316,4456,4209,4448,4450,4047,3902
7,DE,982,1035,1008,946,901,953,1070
8,DC,6539,6546,6954,6865,7748,7298,8350
9,FL,57551,56687,55170,47862,41542,35900,33559
10,GA,19836,20975,20516,16971,16521,13790,12909
11,HI,5834,6188,6246,6335,6918,7620,7921
12,ID,2346,2199,1968,1781,2104,1966,2247
13,IL,14395,14009,14144,13425,13107,13177,11590
14,IN,6452,6196,6259,6096,5971,5863,5798
15,IA,3014,3134,2928,3084,3122,3081,3064
16,KS,1809,2308,2458,2331,2521,2348,2008
17,KY,6623,6034,5230,5245,5089,4538,4237
18,LA,12482,9291,7772,5226,4606,4081,3994
19,ME,2379,2447,2393,3016,2726,2372,2241
20,MD,10845,10208,9454,8205,7856,8390,7689
21,MA,16646,16664,17501,19029,21237,21135,19608
22,MI,13058,13185,12592,11527,12227,10516,9316
23,MN,7869,7495,7744,8214,8377,7546,7341
24,MS,2743,2306,2413,2403,2226,1983,1738
25,MO,8337,9192,10463,8943,7544,6722,6441
26,MT,1615,1768,1833,1878,1745,1709,1418
27,NE,3877,3548,3789,3145,3026,2744,2754
28,NV,11205,9150,8497,7039,8582,8743,7398
29,NH,1574,1469,1496,1447,1376,1445,1366
30,NJ,13737,14137,13025,12002,11671,10098,8895
31,NM,3475,3601,3245,2819,2746,2629,2263
32,NY,65606,63445,69566,77430,80590,88250,86352
33,NC,12191,12896,13524,12168,11491,10685,9559
34,ND,799,603,688,2069,1258,1305,923
35,OH,12569,13030,13977,12325,11823,11182,10404
36,OK,5229,4625,5032,4408,4191,3777,4107
37,OR,19492,17254,15828,13822,12164,13226,13238
38,PA,14516,15096,14736,15086,15333,15421,15339
39,RI,1282,1070,1277,1384,1190,1111,1160
40,SC,4473,5093,4915,6544,5057,5354,5051
41,SD,731,826,859,1094,885,1036,1072
42,TN,10276,9113,9426,9528,9415,9123,8779
43,TX,35121,36911,34052,29615,28495,23678,23122
44,UT,3284,3130,3527,3277,3081,3025,2807
45,VT,1220,1144,1160,1454,1559,1523,1117
46,VA,9080,8816,8424,7625,7020,7001,6268
47,WA,22878,20439,20504,17760,18442,19419,20827
48,WV,2264,2211,2410,2240,2013,1835,1387
49,WI,6333,5785,6027,6104,6055,6057,5685
50,WY,579,1038,1813,953,757,798,857
