,year,state,id,name,type,population
7,2010,AK,2,Anchorage,Total Homeless,"1,231"
19,2010,AK,2,Alaska Balance of State,Total Homeless,632
31,2010,AL,1,"Birmingham/Jefferson, St. Clair, Shelby Counties",Total Homeless,"2,273"
43,2010,AL,1,Mobile City & County/Baldwin County,Total Homeless,883
55,2010,AL,1,Florence/Northwest Alabama,Total Homeless,170
67,2010,AL,1,Huntsville/North Alabama,Total Homeless,819
79,2010,AL,1,Montgomery City & County,Total Homeless,444
91,2010,AL,1,Gadsden/Northeast Alabama,Total Homeless,370
103,2010,AL,1,Tuscaloosa City & County,Total Homeless,278
115,2010,AL,1,Alabama Balance of State,Total Homeless,809
127,2010,AR,5,Little Rock/Central Arkansas,Total Homeless,"1,425"
139,2010,AR,5,Fayetteville/Northwest Arkansas,Total Homeless,251
151,2010,AR,5,Delta Hills,Total Homeless,969
163,2010,AR,5,Southeast Arkansas,Total Homeless,51
175,2010,AR,5,"Boone, Baxter, Marion, Newton Counties",Total Homeless,66
187,2010,AZ,4,Arizona Balance of State,Total Homeless,"3,069"
199,2010,AZ,4,Tucson/Pima County,Total Homeless,"3,643"
211,2010,AZ,4,Phoenix/Mesa/Maricopa County Regional,Total Homeless,"6,999"
223,2010,CA,6,San Jose/Santa Clara City & County,Total Homeless,"7,086"
235,2010,CA,6,San Francisco,Total Homeless,"5,823"
247,2010,CA,6,Oakland/Alameda County,Total Homeless,"4,341"
259,2010,CA,6,Sacramento City & County,Total Homeless,"2,734"
271,2010,CA,6,Santa Rosa/Petaluma/Sonoma County,Total Homeless,"3,345"
283,2010,CA,6,Richmond/Contra Costa County,Total Homeless,"2,759"
295,2010,CA,6,"Salinas/Monterey, San Benito Counties",Total Homeless,"2,407"
307,2010,CA,6,Marin County,Total Homeless,"1,026"
319,2010,CA,6,Watsonville/Santa Cruz City & County,Total Homeless,"2,265"
331,2010,CA,6,Mendocino County,Total Homeless,"1,202"
343,2010,CA,6,Turlock/Modesto/Stanislaus County,Total Homeless,"1,800"
355,2010,CA,6,Stockton/San Joaquin County,Total Homeless,"3,005"
367,2010,CA,6,Daly/San Mateo County,Total Homeless,"1,424"
379,2010,CA,6,"Visalia, Kings, Tulare Counties",Total Homeless,966
391,2010,CA,6,Fresno/Madera County,Total Homeless,"4,288"
403,2010,CA,6,"Roseville/Rocklin/Placer, Nevada Counties",Total Homeless,"1,054"
415,2010,CA,6,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties",Total Homeless,336
427,2010,CA,6,Napa City & County,Total Homeless,314
439,2010,CA,6,Vallejo/Solano County,Total Homeless,829
451,2010,CA,6,Chico/Paradise/Butte County,Total Homeless,742
463,2010,CA,6,Merced City & County,Total Homeless,372
475,2010,CA,6,Davis/Woodland/Yolo County,Total Homeless,491
487,2010,CA,6,Humboldt County,Total Homeless,"1,355"
499,2010,CA,6,"Colusa, Glenn, Trinity Counties",Total Homeless,197
511,2010,CA,6,Yuba City & County/Sutter County,Total Homeless,512
523,2010,CA,6,El Dorado County,Total Homeless,146
535,2010,CA,6,"Amador, Calaveras, Tuolumne and Mariposa Counties",Total Homeless,289
547,2010,CA,6,Del Norte County,Total Homeless,18
559,2010,CA,6,Los Angeles City & County,Total Homeless,"33,243"
571,2010,CA,6,San Diego City and County,Total Homeless,"8,383"
583,2010,CA,6,Santa Ana/Anaheim/Orange County,Total Homeless,"8,333"
595,2010,CA,6,Santa Maria/Santa Barbara County,Total Homeless,"4,121"
607,2010,CA,6,Bakersfield/Kern County,Total Homeless,"1,499"
619,2010,CA,6,Long Beach,Total Homeless,"3,909"
631,2010,CA,6,Pasadena,Total Homeless,"1,137"
643,2010,CA,6,Riverside City & County,Total Homeless,"3,126"
655,2010,CA,6,San Bernardino City & County,Total Homeless,"2,026"
667,2010,CA,6,Oxnard/San Buenaventura/Ventura County,Total Homeless,"1,815"
679,2010,CA,6,Glendale,Total Homeless,428
691,2010,CA,6,Imperial County,Total Homeless,505
703,2010,CA,6,San Luis Obispo County,Total Homeless,"3,829"
715,2010,CO,8,Colorado Balance of State,Total Homeless,"5,267"
727,2010,CO,8,Metropolitan Denver Homeless Initiative,Total Homeless,"8,752"
739,2010,CO,8,Colorado Springs/El Paso County,Total Homeless,"1,463"
751,2010,CT,9,Bridgeport/Norwalk /Stamford/Fairfield County,Total Homeless,944
763,2010,CT,9,Connecticut Balance of State,Total Homeless,"3,372"
775,2010,DC,11,District of Columbia,Total Homeless,"6,539"
787,2010,DE,10,Delaware Statewide,Total Homeless,982
799,2010,FL,12,"Sarasota/Bradenton/Manatee, Sarasota Counties",Total Homeless,"1,999"
811,2010,FL,12,Tampa/Hillsborough County,Total Homeless,"7,473"
823,2010,FL,12,St. Petersburg/Clearwater/Largo/Pinellas County,Total Homeless,"3,948"
835,2010,FL,12,Lakeland/Winter Haven/Polk County,Total Homeless,820
847,2010,FL,12,"Daytona Beach/Daytona/Volusia, Flagler Counties",Total Homeless,"2,155"
859,2010,FL,12,"Fort Walton Beach/Okaloosa, Walton Counties",Total Homeless,"2,262"
871,2010,FL,12,Tallahassee/Leon County,Total Homeless,640
883,2010,FL,12,"Orlando/Orange, Osceola, Seminole Counties",Total Homeless,"4,041"
895,2010,FL,12,"Gainesville/Alachua, Putnam Counties",Total Homeless,"1,019"
907,2010,FL,12,"Fort Pierce/St. Lucie, Indian River, Martin Counties",Total Homeless,"2,160"
919,2010,FL,12,"Jacksonville-Duval, Clay Counties",Total Homeless,"3,241"
931,2010,FL,12,Pensacola/Escambia/Santa Rosa County,Total Homeless,"1,160"
943,2010,FL,12,Saint Johns County,Total Homeless,"1,252"
955,2010,FL,12,Palm Bay/Melbourne/Brevard County,Total Homeless,"1,221"
967,2010,FL,12,Ocala/Marion County,Total Homeless,576
979,2010,FL,12,"Panama City/Bay, Jackson Counties",Total Homeless,326
991,2010,FL,12,"Hendry, Hardee, Highlands Counties",Total Homeless,"4,220"
1003,2010,FL,12,"Columbia, Hamilton, Lafayette, Suwannee Counties",Total Homeless,"1,114"
1015,2010,FL,12,Pasco County,Total Homeless,"4,527"
1027,2010,FL,12,"Citrus, Hernando, Lake, Sumter Counties",Total Homeless,"1,385"
1039,2010,FL,12,Miami/Dade County,Total Homeless,"3,879"
1051,2010,FL,12,Ft Lauderdale/Broward County,Total Homeless,"3,225"
1063,2010,FL,12,Punta Gorda/Charlotte County,Total Homeless,376
1075,2010,FL,12,Ft Myers/Cape Coral/Lee County,Total Homeless,944
1087,2010,FL,12,Monroe County,Total Homeless,"1,040"
1099,2010,FL,12,West Palm Beach/Palm Beach County,Total Homeless,"2,147"
1111,2010,FL,12,Naples/Collier County,Total Homeless,401
1123,2010,GA,13,Atlanta Continuum of Care,Total Homeless,"7,019"
1135,2010,GA,13,Georgia Balance of State,Total Homeless,"9,750"
1147,2010,GA,13,Athens/Clarke County,Total Homeless,496
1159,2010,GA,13,Augusta,Total Homeless,556
1171,2010,GA,13,Columbus-Muscogee/Russell County,Total Homeless,468
1183,2010,GA,13,Marietta/Cobb County,Total Homeless,470
1195,2010,GA,13,Savannah/Chatham County,Total Homeless,"1,077"
1207,2010,HI,15,Hawaii Balance of State,Total Homeless,"1,663"
1219,2010,HI,15,Honolulu,Total Homeless,"4,171"
1231,2010,IA,19,"Sioux City/Dakota, Woodbury Counties",Total Homeless,308
1243,2010,IA,19,Iowa Balance of State,Total Homeless,"1,686"
